stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
7200,,Ruonių st.,,55.74965,21.09251,https://www.stops.lt/klaipeda/index.html#stop/0124,,,1
3820,,Šlaito st.,,55.76885,21.08946,https://www.stops.lt/klaipeda/index.html#stop/0108,,,1
3821,,Šlaito st.,,55.76819,21.08973,https://www.stops.lt/klaipeda/index.html#stop/0109,,,1
179,,Girulių st.,,55.76924,21.09485,https://www.stops.lt/klaipeda/index.html#stop/0101,,,1
4408,,Girulių st.,,55.76920,21.09478,https://www.stops.lt/klaipeda/index.html#stop/0101a,,,1
7518,,Gručeikių sodai,,55.62571,21.23969,https://www.stops.lt/klaipeda/index.html#stop/9043,,,2
7516,,Ulonų st.,,55.63319,21.24237,https://www.stops.lt/klaipeda/index.html#stop/9042,,,2
7517,,Ulonų st.,,55.63311,21.24216,https://www.stops.lt/klaipeda/index.html#stop/9041,,,2
7519,,Gručeikių sodai,,55.62554,21.23962,https://www.stops.lt/klaipeda/index.html#stop/9044,,,2
7496,,Spengių sodai,,55.62486,21.22661,https://www.stops.lt/klaipeda/index.html#stop/9045,,,2
4830,,Jakų mokykla,,55.70028,21.22266,https://www.stops.lt/klaipeda/index.html#stop/7799,,,1
5115,,Jakų st.,,55.69720,21.21691,https://www.stops.lt/klaipeda/index.html#stop/7750,,,1
5118,,Pašto st.,,55.69995,21.21666,https://www.stops.lt/klaipeda/index.html#stop/7751,,,1
7041,,Kretingos AS,,55.88657,21.23163,https://www.stops.lt/klaipeda/index.html#stop/9971,,,3
6086,,Palangos AS; 15 aikštelė,,55.91380,21.07904,https://www.stops.lt/klaipeda/index.html#stop/9998,,,3
7026,,Palangos AS; 1 aikštelė,,55.91357,21.07809,https://www.stops.lt/klaipeda/index.html#stop/9994,,,3
7206,,Sodų st.,,55.91455,21.08112,https://www.stops.lt/klaipeda/index.html#stop/9990,,,3
6087,,Palangos oro uostas,,55.97151,21.09785,https://www.stops.lt/klaipeda/index.html#stop/9996,,,3
130,,Jaunystės st.,,55.72696,21.17180,https://www.stops.lt/klaipeda/index.html#stop/0701,,,1
6674,,Mickai,,55.61071,21.27182,https://www.stops.lt/klaipeda/index.html#stop/8925,,,2
6675,,Mickai,,55.61231,21.27110,https://www.stops.lt/klaipeda/index.html#stop/8926,,,2
6672,,Spengiai,,55.61955,21.26556,https://www.stops.lt/klaipeda/index.html#stop/8923,,,2
6673,,Spengiai,,55.62068,21.26522,https://www.stops.lt/klaipeda/index.html#stop/8924,,,2
8003,,Mėželiai,,55.52692,21.31340,https://www.stops.lt/klaipeda/index.html#stop/9120,,,2
8779,,Mėželiai,,55.52628,21.31414,https://www.stops.lt/klaipeda/index.html#stop/9121,,,2
8015,,Venckai,,55.51301,21.32035,https://www.stops.lt/klaipeda/index.html#stop/9122,,,2
8953,,Venckai,,55.51357,21.32009,https://www.stops.lt/klaipeda/index.html#stop/9123,,,2
6679,,Dercekliai,,55.58218,21.28543,https://www.stops.lt/klaipeda/index.html#stop/8930,,,2
7937,,Dercekliai,,55.58083,21.28674,https://www.stops.lt/klaipeda/index.html#stop/8929,,,2
6676,,Dituva,,55.59272,21.28537,https://www.stops.lt/klaipeda/index.html#stop/8927,,,2
6677,,Dituva,,55.59323,21.28566,https://www.stops.lt/klaipeda/index.html#stop/8928,,,2
8106,,Lingiai,,55.57279,21.29629,https://www.stops.lt/klaipeda/index.html#stop/9100,,,2
8548,,Lingiai,,55.57413,21.29496,https://www.stops.lt/klaipeda/index.html#stop/9101,,,2
7940,,Priekulė,,55.55328,21.32303,https://www.stops.lt/klaipeda/index.html#stop/9104,,,2
8126,,Priekulės geležinkelio stotis,,55.56441,21.30653,https://www.stops.lt/klaipeda/index.html#stop/9103,,,2
8139,,Priekulės geležinkelio stotis,,55.56291,21.30841,https://www.stops.lt/klaipeda/index.html#stop/9102,,,2
8014,,Dreverna,,55.52142,21.24562,https://www.stops.lt/klaipeda/index.html#stop/9114,,,2
8731,,Dreverna,,55.52130,21.24598,https://www.stops.lt/klaipeda/index.html#stop/9115,,,2
8097,,Pangesai,,55.54747,21.29979,https://www.stops.lt/klaipeda/index.html#stop/9107,,,2
8098,,Pangesai,,55.54758,21.30094,https://www.stops.lt/klaipeda/index.html#stop/9106,,,2
8004,,Pempiai,,55.54661,21.27935,https://www.stops.lt/klaipeda/index.html#stop/9108,,,2
8029,,Pempiai,,55.54691,21.28117,https://www.stops.lt/klaipeda/index.html#stop/9109,,,2
8019,,Pjauliai,,55.54001,21.25340,https://www.stops.lt/klaipeda/index.html#stop/9110,,,2
8028,,Pjauliai,,55.54025,21.25453,https://www.stops.lt/klaipeda/index.html#stop/9111,,,2
8109,,Tiltas,,55.52900,21.25511,https://www.stops.lt/klaipeda/index.html#stop/9112,,,2
8985,,Tiltas,,55.52865,21.25559,https://www.stops.lt/klaipeda/index.html#stop/9113,,,2
8547,,Svencelė,,55.49070,21.25244,https://www.stops.lt/klaipeda/index.html#stop/9116,,,2
102,,Pilies st.,,55.70284,21.13646,https://www.stops.lt/klaipeda/index.html#stop/1207,,,1
107,,Teatro st.,,55.70682,21.13180,https://www.stops.lt/klaipeda/index.html#stop/1202,,,1
103,,Turgaus st.,,55.70591,21.14049,https://www.stops.lt/klaipeda/index.html#stop/1206,,,1
4413,,Turgaus st.,,55.70531,21.14179,https://www.stops.lt/klaipeda/index.html#stop/1205a,,,1
4495,,Senamiesčio st.,,55.70802,21.13675,https://www.stops.lt/klaipeda/index.html#stop/1217,,,1
4496,,Senamiesčio st.,,55.70804,21.13693,https://www.stops.lt/klaipeda/index.html#stop/1218,,,1
4667,,Pakrantės st.,,55.74261,21.19239,https://www.stops.lt/klaipeda/index.html#stop/8817,,,2
4668,,Pakrantės st.,,55.74161,21.19233,https://www.stops.lt/klaipeda/index.html#stop/8818,,,2
6986,,Eglynai,,55.76297,21.31309,https://www.stops.lt/klaipeda/index.html#stop/8962,,,2
6987,,Eglynai,,55.76327,21.31420,https://www.stops.lt/klaipeda/index.html#stop/8963,,,2
6988,,Smilgynai,,55.76858,21.32562,https://www.stops.lt/klaipeda/index.html#stop/8964,,,2
9048,,Smilgynai,,55.76879,21.32621,https://www.stops.lt/klaipeda/index.html#stop/9078,,,2
6989,,Smilgynai,,55.76834,21.32847,https://www.stops.lt/klaipeda/index.html#stop/8965,,,2
5315,,Sudmantų žiedo st.,,55.70193,21.21061,https://www.stops.lt/klaipeda/index.html#stop/7753,,,1
4831,,Sudmantai,,55.70467,21.20835,https://www.stops.lt/klaipeda/index.html#stop/7798,,,2
3846,,Kurėno st.,,55.66561,21.17415,https://www.stops.lt/klaipeda/index.html#stop/2505,,,1
4217,,Kurėno st.,,55.66525,21.17437,https://www.stops.lt/klaipeda/index.html#stop/2506,,,1
7148,,Veiviržėnai,,55.59734,21.59668,https://www.stops.lt/klaipeda/index.html#stop/9211,,,2
